reactor_name,country,technology_family,reactor_type,capacity_mwe,start_decade,vendor,source_confidence,completed_on_time,actual_build_years
Kori-2,South Korea,Light Water Reactor,PWR,640.0,1970,Westinghouse,0.55,1,5.585215605749487
Kori-3,South Korea,Light Water Reactor,PWR,950.0,1970,Framatome,0.55,1,6.247775496235455
Kori-4,South Korea,Light Water Reactor,PWR,950.0,1980,Framatome,0.55,1,5.574264202600959
Shin Hanul-1,South Korea,Light Water Reactor,APR1400,1340.0,2010,KHNP,0.55,1,9.91375770020534
Shin Hanul-2,South Korea,Light Water Reactor,APR1400,1340.0,2010,KHNP,0.55,0,11.23066392881588
Shin Kori-1,South Korea,Light Water Reactor,PWR,995.0,2000,KHNP,0.55,1,4.70362765229295
Shin Kori-2,South Korea,Light Water Reactor,PWR,995.0,2000,KHNP,0.55,1,5.125256673511293
Shin Kori-3,South Korea,Light Water Reactor,APR1400,1340.0,2000,KHNP,0.55,1,8.177960301163587
Shin Kori-4,South Korea,Light Water Reactor,APR1400,1340.0,2000,KHNP,0.55,0,10.026009582477755
Shin Kori-5,South Korea,Light Water Reactor,APR1400,1340.0,2010,KHNP,0.55,0,
Shin Kori-6,South Korea,Light Water Reactor,APR1400,1340.0,2010,KHNP,0.55,0,
Wolsong-1,South Korea,Heavy Water Reactor,PHWR,679.0,1970,AECL,0.55,1,5.555099247091033
Wolsong-2,South Korea,Heavy Water Reactor,PHWR,700.0,1990,AECL,0.55,1,4.829568788501026
Wolsong-3,South Korea,Heavy Water Reactor,PHWR,700.0,1990,AECL,0.55,1,3.79192334017796
Wolsong-4,South Korea,Heavy Water Reactor,PHWR,700.0,1990,AECL,0.55,1,3.6632443531827517
Almaraz-1,Spain,Light Water Reactor,PWR,1049.0,1970,Westinghouse,0.55,1,9.826146475017111
Almaraz-2,Spain,Light Water Reactor,PWR,1044.0,1970,Westinghouse,0.55,0,10.913073237508556
Asco-1,Spain,Light Water Reactor,PWR,1032.0,1970,Westinghouse,0.55,0,10.236824093086927
Asco-2,Spain,Light Water Reactor,PWR,1027.0,1970,Westinghouse,0.55,0,11.066392881587953
Cofrentes,Spain,Light Water Reactor,BWR,1064.0,1970,GE,0.55,1,9.574264202600958
Trillo,Spain,Light Water Reactor,PWR,1003.0,1970,KWU,0.55,1,8.971937029431896
Vandellos-2,Spain,Light Water Reactor,PWR,1045.0,1980,Westinghouse,0.55,1,7.266255989048597
Forsmark-1,Sweden,Light Water Reactor,BWR,984.0,1970,ASEA Atom,0.55,0,11.526351813826146
Forsmark-2,Sweden,Light Water Reactor,BWR,1120.0,1970,ASEA Atom,0.55,1,6.513347022587269
Forsmark-3,Sweden,Light Water Reactor,BWR,1167.0,1970,ASEA Atom,0.55,1,6.628336755646817
Oskarshamn-3,Sweden,Light Water Reactor,BWR,473.0,1980,ASEA Atom,0.55,1,5.28952772073922
Ringhals-3,Sweden,Light Water Reactor,PWR,1063.0,1970,Westinghouse,0.55,1,9.015742642026009
Ringhals-4,Sweden,Light Water Reactor,PWR,1101.0,1970,Westinghouse,0.55,0,10.13826146475017
Beznau-1,Switzerland,Light Water Reactor,PWR,365.0,1960,Westinghouse,0.55,1,4.271047227926078
Beznau-2,Switzerland,Light Water Reactor,PWR,365.0,1960,Westinghouse,0.55,1,3.6413415468856947
Gosgen,Switzerland,Light Water Reactor,PWR,970.0,1970,KWU,0.55,1,6.417522245037645
Leibstadt,Switzerland,Light Water Reactor,BWR,1220.0,1970,GE,0.55,0,10.954140999315538
Mühleberg,Switzerland,Light Water Reactor,BWR,355.0,1960,GE,0.55,1,5.686516084873374
Chinshan-1,Taiwan,Light Water Reactor,BWR,604.0,1970,GE,0.55,1,6.940451745379876
Kuosheng-1,Taiwan,Light Water Reactor,BWR,951.0,1970,GE,0.55,1,3.9890485968514717
Maanshan-1,Taiwan,Light Water Reactor,PWR,890.0,1970,Westinghouse,0.55,1,5.820670773442847
Maanshan-2,Taiwan,Light Water Reactor,PWR,890.0,1970,Westinghouse,0.55,1,5.462012320328542
Akkuyu-1,Turkey,Light Water Reactor,VVER,1114.0,2010,Rosatom,0.55,0,
Akkuyu-2,Turkey,Light Water Reactor,VVER,1114.0,2020,Rosatom,0.55,0,
Akkuyu-3,Turkey,Light Water Reactor,VVER,1114.0,2020,Rosatom,0.55,0,
Barakah-1,UAE,Light Water Reactor,APR1400,1345.0,2010,KEPCO,0.55,1,8.71731690622861
Barakah-2,UAE,Light Water Reactor,APR1400,1345.0,2010,KEPCO,0.55,1,8.936344969199178
Barakah-3,UAE,Light Water Reactor,APR1400,1345.0,2010,KEPCO,0.55,1,9.05407255304586
Barakah-4,UAE,Light Water Reactor,APR1400,1345.0,2010,KEPCO,0.55,0,
Khmelnitsky-1,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,1,6.138261464750171
Khmelnitsky-2,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,0,21.598904859685145
Rivne-1,Ukraine,Light Water Reactor,VVER,382.0,1970,Rosatom,0.55,1,8.39151266255989
Rivne-2,Ukraine,Light Water Reactor,VVER,382.0,1970,Rosatom,0.55,1,8.39151266255989
Rivne-3,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,1,7.745379876796714
Rivne-4,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,0,17.845311430527037
South Ukraine-1,Ukraine,Light Water Reactor,VVER,950.0,1970,Rosatom,0.55,1,6.16290212183436
South Ukraine-2,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,1,3.761806981519507
South Ukraine-3,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,1,4.03832991101985
Zaporizhzhia-1,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,1,4.692676249144422
Zaporizhzhia-2,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,1,4.084873374401095
Zaporizhzhia-3,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,1,4.678986995208761
Zaporizhzhia-4,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,1,5.037645448323066
Zaporizhzhia-5,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,1,3.9616700889801506
Zaporizhzhia-6,Ukraine,Light Water Reactor,VVER,950.0,1980,Rosatom,0.55,1,7.211498973305955
Arkansas-1,United States,Light Water Reactor,PWR,850.0,1960,B&W,0.55,1,6.2149212867898695
Arkansas-2,United States,Light Water Reactor,PWR,929.0,1960,CE,0.55,0,11.482546201232033
Beaver Valley-1,United States,Light Water Reactor,PWR,900.0,1970,Westinghouse,0.55,1,6.26694045174538
Beaver Valley-2,United States,Light Water Reactor,PWR,906.0,1970,Westinghouse,0.55,0,13.541409993155373
Braidwood-1,United States,Light Water Reactor,PWR,1194.0,1970,Westinghouse,0.55,0,12.993839835728952
Braidwood-2,United States,Light Water Reactor,PWR,1218.0,1970,Westinghouse,0.55,0,13.212867898699521
Browns Ferry-1,United States,Light Water Reactor,BWR,1210.0,1960,GE,0.55,1,6.885694729637235
Browns Ferry-3,United States,Light Water Reactor,BWR,1210.0,1960,GE,0.55,1,8.6652977412731
Brunswick-1,United States,Light Water Reactor,BWR,938.0,1970,GE,0.55,1,7.107460643394935
Brunswick-2,United States,Light Water Reactor,BWR,938.0,1970,GE,0.55,1,5.735797399041752
Byron-1,United States,Light Water Reactor,PWR,1164.0,1970,Westinghouse,0.55,0,10.042436687200547
Byron-2,United States,Light Water Reactor,PWR,1136.0,1970,Westinghouse,0.55,0,11.917864476386036
Callaway,United States,Light Water Reactor,PWR,1236.0,1970,Westinghouse,0.55,1,8.71731690622861
Catawba-1,United States,Light Water Reactor,PWR,1148.0,1970,Westinghouse,0.55,0,10.491444216290212
Catawba-2,United States,Light Water Reactor,PWR,1148.0,1970,Westinghouse,0.55,0,11.630390143737166
Clinton,United States,Light Water Reactor,BWR,1078.0,1970,GE,0.55,0,12.147843942505133
Comanche Peak-1,United States,Light Water Reactor,PWR,1218.0,1970,Westinghouse,0.55,0,15.649555099247092
Comanche Peak-2,United States,Light Water Reactor,PWR,1218.0,1970,Westinghouse,0.55,0,18.622861054072555
Cooper,United States,Light Water Reactor,BWR,769.0,1960,GE,0.55,1,6.080766598220397
Davis-Besse,United States,Light Water Reactor,PWR,894.0,1970,B&W,0.55,1,7.912388774811773
DC Cook-1,United States,Light Water Reactor,PWR,1054.0,1960,Westinghouse,0.55,1,6.422997946611909
DC Cook-2,United States,Light Water Reactor,PWR,1077.0,1960,Westinghouse,0.55,1,9.267624914442163
Diablo Canyon-1,United States,Light Water Reactor,PWR,1122.0,1960,Westinghouse,0.55,0,17.0403832991102
Diablo Canyon-2,United States,Light Water Reactor,PWR,1118.0,1970,Westinghouse,0.55,0,15.2580424366872
Dresden-2,United States,Light Water Reactor,BWR,882.0,1960,GE,0.55,1,4.4106776180698155
Dresden-3,United States,Light Water Reactor,BWR,882.0,1960,GE,0.55,1,5.089664613278576
Fermi-2,United States,Light Water Reactor,BWR,1173.0,1970,GE,0.55,0,15.323750855578371
James FitzPatrick,United States,Light Water Reactor,BWR,854.0,1970,GE,0.55,1,5.1827515400410675
Grand Gulf-1,United States,Light Water Reactor,BWR,1497.0,1970,GE,0.55,0,10.822724161533197
Robinson,United States,Light Water Reactor,PWR,740.0,1960,Westinghouse,0.55,1,4.3641341546885695
Heysham-1A,United Kingdom,Other/Unclassified,GCR,575.0,1970,NNC,0.55,0,12.580424366872005
Heysham-1B,United Kingdom,Other/Unclassified,GCR,575.0,1970,NNC,0.55,0,13.500342231348391
Heysham-2A,United Kingdom,Other/Unclassified,GCR,615.0,1980,GEC,0.55,1,8.6652977412731
Heysham-2B,United Kingdom,Other/Unclassified,GCR,615.0,1980,GEC,0.55,1,8.503764544832306
Hinkley Point C-1,United Kingdom,Light Water Reactor,EPR,1630.0,2010,Framatome,0.55,0,
Hinkley Point C-2,United Kingdom,Light Water Reactor,EPR,1630.0,2010,Framatome,0.55,0,
Hope Creek,United States,Light Water Reactor,BWR,1270.0,1970,GE,0.55,0,12.134154688569472
Indian Point-3,United States,Light Water Reactor,PWR,1025.0,1960,Westinghouse,0.55,1,6.828199863107461
LaSalle-1,United States,Light Water Reactor,BWR,1137.0,1970,GE,0.55,0,10.30800821355236
LaSalle-2,United States,Light Water Reactor,BWR,1137.0,1970,GE,0.55,0,11.107460643394935
Limerick-1,United States,Light Water Reactor,BWR,1134.0,1970,GE,0.55,0,11.62217659137577
Limerick-2,United States,Light Water Reactor,BWR,1134.0,1970,GE,0.55,0,15.5564681724846
McGuire-1,United States,Light Water Reactor,PWR,1178.0,1970,Westinghouse,0.55,1,8.829568788501026
McGuire-2,United States,Light Water Reactor,PWR,1178.0,1970,Westinghouse,0.55,0,11.077344284736482
Millstone-2,United States,Light Water Reactor,PWR,884.0,1970,CE,0.55,1,6.151950718685832
Millstone-3,United States,Light Water Reactor,PWR,1247.0,1970,Westinghouse,0.55,0,11.704312114989733
Monticello,United States,Light Water Reactor,BWR,614.0,1960,GE,0.55,1,4.030116358658453
Nine Mile Point-1,United States,Light Water Reactor,BWR,621.0,1960,GE,0.55,1,4.914442162902122
Nine Mile Point-2,United States,Light Water Reactor,BWR,1299.0,1970,GE,0.55,0,12.862422997946611
North Anna-1,United States,Light Water Reactor,PWR,978.0,1970,Westinghouse,0.55,1,7.29637234770705
North Anna-2,United States,Light Water Reactor,PWR,978.0,1970,Westinghouse,0.55,1,9.820670773442847
Oconee-1,United States,Light Water Reactor,PWR,900.0,1960,B&W,0.55,1,5.702943189596167
Oconee-2,United States,Light Water Reactor,PWR,900.0,1960,B&W,0.55,1,6.855578370978781
Oconee-3,United States,Light Water Reactor,PWR,900.0,1960,B&W,0.55,1,7.123887748117728
Palo Verde-1,United States,Light Water Reactor,PWR,1311.0,1970,CE,0.55,1,9.678302532511978
Palo Verde-2,United States,Light Water Reactor,PWR,1311.0,1970,CE,0.55,1,8.320328542094456
Palo Verde-3,United States,Light Water Reactor,PWR,1311.0,1970,CE,0.55,1,8.186173853524982
Peach Bottom-2,United States,Light Water Reactor,BWR,1339.0,1960,GE,0.55,1,6.425735797399041
Peach Bottom-3,United States,Light Water Reactor,BWR,1339.0,1960,GE,0.55,1,6.242299794661191
Point Beach-1,United States,Light Water Reactor,PWR,617.0,1960,Westinghouse,0.55,1,3.4250513347022586
Point Beach-2,United States,Light Water Reactor,PWR,617.0,1960,Westinghouse,0.55,1,4.188911704312115
Prairie Island-1,United States,Light Water Reactor,PWR,522.0,1960,Westinghouse,0.55,1,4.80766598220397
Prairie Island-2,United States,Light Water Reactor,PWR,522.0,1960,Westinghouse,0.55,1,6.48870636550308
Quad Cities-1,United States,Light Water Reactor,BWR,908.0,1960,GE,0.55,1,5.004791238877481
Quad Cities-2,United States,Light Water Reactor,BWR,908.0,1960,GE,0.55,1,5.062286105407256
River Bend,United States,Light Water Reactor,BWR,974.0,1970,GE,0.55,1,9.760438056125942
Salem-1,United States,Light Water Reactor,PWR,1174.0,1960,Westinghouse,0.55,1,8.761122518822724
Salem-2,United States,Light Water Reactor,PWR,1174.0,1960,Westinghouse,0.55,0,13.048596851471595
Seabrook,United States,Light Water Reactor,PWR,1246.0,1970,Westinghouse,0.55,0,14.116358658453114
Shearon Harris,United States,Light Water Reactor,PWR,934.0,1970,Westinghouse,0.55,1,9.259411362080767
Sizewell-B,United Kingdom,Light Water Reactor,PWR,1198.0,1980,Westinghouse,0.55,1,6.576317590691307
St. Lucie-1,United States,Light Water Reactor,PWR,839.0,1970,CE,0.55,1,6.4750171115674195
St. Lucie-2,United States,Light Water Reactor,PWR,839.0,1970,CE,0.55,1,6.6036960985626285
Surry-1,United States,Light Water Reactor,PWR,842.0,1960,Westinghouse,0.55,1,4.492813141683778
Surry-2,United States,Light Water Reactor,PWR,842.0,1960,Westinghouse,0.55,1,4.848733744010952
Susquehanna-1,United States,Light Water Reactor,BWR,1299.0,1970,GE,0.55,1,9.596167008898014
Susquehanna-2,United States,Light Water Reactor,BWR,1299.0,1970,GE,0.55,0,11.279945242984258
Three Mile Island-1,United States,Light Water Reactor,PWR,869.0,1960,B&W,0.55,1,6.291581108829569
Torness-A,United Kingdom,Other/Unclassified,GCR,615.0,1980,GEC,0.55,1,7.808350444900753
Torness-B,United Kingdom,Other/Unclassified,GCR,615.0,1980,GEC,0.55,1,8.558521560574949
Turkey Point-3,United States,Light Water Reactor,PWR,760.0,1960,Westinghouse,0.55,1,5.634496919917864
Vogtle-1,United States,Light Water Reactor,PWR,1217.0,1970,Westinghouse,0.55,0,10.746064339493497
Vogtle-2,United States,Light Water Reactor,PWR,1213.0,1970,Westinghouse,0.55,0,12.799452429842573
Vogtle-3,United States,Light Water Reactor,AP1000,1117.0,2000,Westinghouse,0.55,0,14.38466803559206
Vogtle-4,United States,Light Water Reactor,AP1000,1117.0,2010,Westinghouse,0.55,0,10.442162902121835
Waterford-3,United States,Light Water Reactor,PWR,1227.0,1970,CE,0.55,0,10.861054072553046
Wolf Creek,United States,Light Water Reactor,PWR,1215.0,1970,Westinghouse,0.55,1,8.342231348391513
Wylfa-1,United Kingdom,Other/Unclassified,GCR,490.0,1960,AEI/GEC,0.55,1,8.167008898015059
