reactor_name,plant_name,unit_name,country,status,reactor_type,design_name,net_capacity_mwe,gross_capacity_mwe,construction_start_date,grid_connection_date,commercial_operation_date,shutdown_date,latitude,longitude,owner,operator,vendor,source_name
Akkuyu-1,Akkuyu,Unit 1,Turkey,under construction,VVER,VVER-1200,1114,1200,2018-04-03,,,,36.144,33.541,Akkuyu Nuclear,Rosatom,Rosatom,IAEA-PRIS/WNA-sample
Akkuyu-2,Akkuyu,Unit 2,Turkey,under construction,VVER,VVER-1200,1114,1200,2020-04-08,,,,36.144,33.541,Akkuyu Nuclear,Rosatom,Rosatom,IAEA-PRIS/WNA-sample
Akkuyu-3,Akkuyu,Unit 3,Turkey,under construction,VVER,VVER-1200,1114,1200,2021-03-10,,,,36.144,33.541,Akkuyu Nuclear,Rosatom,Rosatom,IAEA-PRIS/WNA-sample
Akkuyu-4,Akkuyu,Unit 4,Turkey,under construction,VVER,VVER-1200,1114,1200,2022-07-21,,,,36.144,33.541,Akkuyu Nuclear,Rosatom,Rosatom,IAEA-PRIS/WNA-sample
Barakah-1,Barakah,Unit 1,UAE,operating,PWR,APR1400,1345,1400,2012-07-18,2020-08-19,2021-04-06,,23.968,52.227,ENEC,Nawah,KEPCO,IAEA-PRIS/WNA-sample
Barakah-2,Barakah,Unit 2,UAE,operating,PWR,APR1400,1345,1400,2013-04-16,2021-09-14,2022-03-24,,23.968,52.227,ENEC,Nawah,KEPCO,IAEA-PRIS/WNA-sample
Barakah-3,Barakah,Unit 3,UAE,operating,PWR,APR1400,1345,1400,2014-09-24,2023-02-24,2023-10-14,,23.968,52.227,ENEC,Nawah,KEPCO,IAEA-PRIS/WNA-sample
Barakah-4,Barakah,Unit 4,UAE,under construction,PWR,APR1400,1345,1400,2015-09-02,,,,23.968,52.227,ENEC,Nawah,KEPCO,IAEA-PRIS/WNA-sample
Khmelnitsky-1,Khmelnitsky,Unit 1,Ukraine,operating,VVER,VVER-1000,950,1000,1981-11-01,1987-12-22,1987-12-22,,50.3,26.648,Energoatom,Energoatom,Rosatom,IAEA-PRIS/WNA-sample
Rivne-3,Rivne,Unit 3,Ukraine,operating,VVER,VVER-1000,950,1000,1980-02-22,1986-12-21,1987-11-21,,51.325,25.892,Energoatom,Energoatom,Rosatom,IAEA-PRIS/WNA-sample
South Ukraine-1,South Ukraine,Unit 1,Ukraine,operating,VVER,VVER-1000,950,1000,1977-11-01,1982-10-27,1983-12-31,,47.839,31.216,Energoatom,Energoatom,Rosatom,IAEA-PRIS/WNA-sample
Zaporizhzhia-1,Zaporizhzhia,Unit 1,Ukraine,operating,VVER,VVER-1000,950,1000,1981-04-01,1985-12-10,1985-12-10,,47.506,34.585,Energoatom,Energoatom,Rosatom,IAEA-PRIS/WNA-sample
Zaporizhzhia-5,Zaporizhzhia,Unit 5,Ukraine,operating,VVER,VVER-1000,950,1000,1985-11-01,1989-10-18,1989-10-18,,47.506,34.585,Energoatom,Energoatom,Rosatom,IAEA-PRIS/WNA-sample
Heysham-2A,Heysham-2,Unit A,United Kingdom,operating,GCR,AGR,615,660,1980-08-01,1988-03-01,1989-04-01,,54.032,-2.91,EDF,EDF,GEC,IAEA-PRIS/WNA-sample
Torness-A,Torness,Unit A,United Kingdom,operating,GCR,AGR,615,660,1980-08-01,1988-05-23,1988-05-23,,55.966,-2.437,EDF,EDF,GEC,IAEA-PRIS/WNA-sample
Sizewell-B,Sizewell,Unit B,United Kingdom,operating,PWR,PWR,1198,1258,1988-07-18,1995-02-14,1995-02-14,,52.213,1.618,EDF,EDF,Westinghouse,IAEA-PRIS/WNA-sample
Hinkley Point C-1,Hinkley Point C,Unit 1,United Kingdom,under construction,PWR,EPR,1630,1720,2018-12-11,,,,51.205,-3.143,EDF/CGN,EDF,Framatome,IAEA-PRIS/WNA-sample
Hinkley Point C-2,Hinkley Point C,Unit 2,United Kingdom,under construction,PWR,EPR,1630,1720,2019-12-11,,,,51.205,-3.143,EDF/CGN,EDF,Framatome,IAEA-PRIS/WNA-sample
Wylfa Newydd-1,Wylfa Newydd,Unit 1,United Kingdom,proposed,PWR,ABWR,1380,1455,,,,,53.418,-4.473,Horizon,Hitachi,Hitachi,IAEA-PRIS/WNA-sample
Palo Verde-1,Palo Verde,Unit 1,United States,operating,PWR,System 80,1311,1412,1976-05-25,1985-11-26,1986-01-28,,33.388,-112.862,APS,APS,CE,IAEA-PRIS/WNA-sample
Palo Verde-2,Palo Verde,Unit 2,United States,operating,PWR,System 80,1311,1412,1978-05-25,1986-04-19,1986-09-19,,33.388,-112.862,APS,APS,CE,IAEA-PRIS/WNA-sample
Palo Verde-3,Palo Verde,Unit 3,United States,operating,PWR,System 80,1311,1412,1979-11-01,1987-11-26,1988-01-08,,33.388,-112.862,APS,APS,CE,IAEA-PRIS/WNA-sample
Browns Ferry-1,Browns Ferry,Unit 1,United States,operating,BWR,BWR-4,1210,1251,1967-09-12,1973-08-01,1974-08-01,,34.704,-87.119,TVA,TVA,GE,IAEA-PRIS/WNA-sample
Browns Ferry-3,Browns Ferry,Unit 3,United States,operating,BWR,BWR-4,1210,1251,1968-07-01,1977-03-01,1977-03-01,,34.704,-87.119,TVA,TVA,GE,IAEA-PRIS/WNA-sample
Grand Gulf-1,Grand Gulf,Unit 1,United States,operating,BWR,BWR-6,1497,1533,1974-09-04,1984-07-01,1985-07-01,,32.008,-91.051,Entergy,Entergy,GE,IAEA-PRIS/WNA-sample
Peach Bottom-2,Peach Bottom,Unit 2,United States,operating,BWR,BWR-4,1339,1373,1968-01-31,1974-03-01,1974-07-05,,39.759,-76.269,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
Peach Bottom-3,Peach Bottom,Unit 3,United States,operating,BWR,BWR-4,1339,1373,1968-09-25,1974-07-26,1974-12-23,,39.759,-76.269,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
Vogtle-1,Vogtle,Unit 1,United States,operating,PWR,PWR,1217,1281,1976-08-01,1987-03-27,1987-05-01,,33.143,-81.762,Georgia Power,Southern Nuclear,Westinghouse,IAEA-PRIS/WNA-sample
Vogtle-3,Vogtle,Unit 3,United States,operating,PWR,AP1000,1117,1250,2009-03-12,2023-04-01,2023-07-31,,33.143,-81.762,Georgia Power,Southern Nuclear,Westinghouse,IAEA-PRIS/WNA-sample
Vogtle-4,Vogtle,Unit 4,United States,operating,PWR,AP1000,1117,1250,2013-11-19,2024-03-01,2024-04-29,,33.143,-81.762,Georgia Power,Southern Nuclear,Westinghouse,IAEA-PRIS/WNA-sample
Turkey Point-3,Turkey Point,Unit 3,United States,operating,PWR,PWR,760,800,1967-04-27,1972-11-14,1972-12-14,,25.433,-80.332,FPL,FPL,Westinghouse,IAEA-PRIS/WNA-sample
Diablo Canyon-1,Diablo Canyon,Unit 1,United States,operating,PWR,PWR,1122,1151,1968-04-22,1984-11-28,1985-05-07,,35.211,-120.854,PG&E,PG&E,Westinghouse,IAEA-PRIS/WNA-sample
Diablo Canyon-2,Diablo Canyon,Unit 2,United States,operating,PWR,PWR,1118,1162,1970-12-09,1985-08-26,1986-03-13,,35.211,-120.854,PG&E,PG&E,Westinghouse,IAEA-PRIS/WNA-sample
Natrium-1,Kemmerer,Unit 1,United States,proposed,SFR,Natrium,345,345,,,,,41.792,-110.538,TerraPower,TerraPower,TerraPower/GEH,IAEA-PRIS/WNA-sample
CP-1,Carbon Free,Unit 1,United States,proposed,SMR-LWR,BWRX-300,300,300,,,,,33.0,-83.0,Southern,Southern,GE Hitachi,IAEA-PRIS/WNA-sample
Rooppur-1,Rooppur,Unit 1,Bangladesh,under construction,VVER,VVER-1200,1114,1200,2017-11-30,,,,24.065,89.047,BAEC,BAEC,Rosatom,IAEA-PRIS/WNA-sample
Rooppur-2,Rooppur,Unit 2,Bangladesh,under construction,VVER,VVER-1200,1114,1200,2018-07-14,,,,24.065,89.047,BAEC,BAEC,Rosatom,IAEA-PRIS/WNA-sample
Lubiatowo-1,Lubiatowo-Kopalino,Unit 1,Poland,planned,PWR,AP1000,1117,1250,,,,,54.783,17.85,PEJ,PEJ,Westinghouse,IAEA-PRIS/WNA-sample
Lubiatowo-2,Lubiatowo-Kopalino,Unit 2,Poland,planned,PWR,AP1000,1117,1250,,,,,54.783,17.85,PEJ,PEJ,Westinghouse,IAEA-PRIS/WNA-sample
Emsland,Emsland,Unit 1,Germany,shutdown,PWR,PWR-Konvoi,1329,1400,1982-08-12,1988-04-14,1988-06-20,2023-04-15,52.47,7.323,PreussenElektra,PreussenElektra,KWU,IAEA-PRIS/WNA-sample
Isar-2,Isar,Unit 2,Germany,shutdown,PWR,PWR-Konvoi,1365,1475,1982-09-15,1988-01-22,1988-04-09,2023-04-15,48.603,12.295,PreussenElektra,PreussenElektra,KWU,IAEA-PRIS/WNA-sample
Blayais-2,Blayais,Unit 2,France,operating,PWR,CP2,910,951,1977-08-01,1982-07-17,1983-02-01,,45.255,-0.691,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Blayais-3,Blayais,Unit 3,France,operating,PWR,CP2,910,951,1978-06-01,1983-07-14,1983-11-14,,45.255,-0.691,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Blayais-4,Blayais,Unit 4,France,operating,PWR,CP2,910,951,1979-01-01,1983-10-16,1983-10-16,,45.255,-0.691,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Bugey-2,Bugey,Unit 2,France,operating,PWR,CP1,880,937,1971-11-01,1978-05-10,1979-03-10,,45.797,5.272,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Bugey-3,Bugey,Unit 3,France,operating,PWR,CP1,880,937,1972-09-01,1978-09-01,1979-03-01,,45.797,5.272,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Bugey-5,Bugey,Unit 5,France,operating,PWR,CP1,880,937,1974-07-01,1979-07-03,1980-01-03,,45.797,5.272,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Chinon-B1,Chinon,Unit B1,France,operating,PWR,CP2,905,954,1977-01-01,1982-11-30,1984-02-01,,47.239,0.178,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Chinon-B2,Chinon,Unit B2,France,operating,PWR,CP2,905,954,1977-03-01,1983-11-14,1984-08-01,,47.239,0.178,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Chinon-B3,Chinon,Unit B3,France,operating,PWR,P4,905,954,1980-03-01,1987-02-20,1987-03-04,,47.239,0.178,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Chinon-B4,Chinon,Unit B4,France,operating,PWR,P4,905,954,1981-02-01,1988-03-14,1988-04-01,,47.239,0.178,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Chooz-B1,Chooz,Unit B1,France,operating,PWR,N4,1500,1561,1984-03-01,1996-08-30,2000-05-15,,49.903,4.789,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Chooz-B2,Chooz,Unit B2,France,operating,PWR,N4,1500,1561,1985-12-01,1997-04-10,2000-09-29,,49.903,4.789,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Cruas-1,Cruas,Unit 1,France,operating,PWR,P4,915,956,1978-08-01,1983-04-28,1984-04-02,,44.637,4.759,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Cruas-2,Cruas,Unit 2,France,operating,PWR,P4,915,956,1978-11-01,1984-09-06,1984-04-11,,44.637,4.759,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Cruas-4,Cruas,Unit 4,France,operating,PWR,P4,915,956,1979-11-01,1984-10-27,1984-11-11,,44.637,4.759,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Dampierre-1,Dampierre,Unit 1,France,operating,PWR,CP2,890,937,1975-02-01,1980-09-23,1980-09-23,,47.733,2.518,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Dampierre-2,Dampierre,Unit 2,France,operating,PWR,CP2,890,937,1975-08-01,1981-02-10,1981-02-10,,47.733,2.518,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Dampierre-3,Dampierre,Unit 3,France,operating,PWR,CP2,890,937,1975-10-01,1981-01-30,1981-05-27,,47.733,2.518,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Dampierre-4,Dampierre,Unit 4,France,operating,PWR,CP2,890,937,1976-01-01,1981-08-18,1981-11-18,,47.733,2.518,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Golfech-1,Golfech,Unit 1,France,operating,PWR,P4,1310,1362,1982-10-01,1990-06-07,1991-02-07,,44.107,0.842,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Golfech-2,Golfech,Unit 2,France,operating,PWR,P4,1310,1362,1984-08-01,1994-01-18,1994-06-18,,44.107,0.842,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Gravelines-2,Gravelines,Unit 2,France,operating,PWR,CP2,910,951,1975-08-01,1980-12-13,1980-12-13,,51.015,2.136,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Gravelines-3,Gravelines,Unit 3,France,operating,PWR,CP2,910,951,1975-12-01,1981-06-12,1981-06-12,,51.015,2.136,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Gravelines-4,Gravelines,Unit 4,France,operating,PWR,CP2,910,951,1976-04-01,1981-10-16,1981-10-16,,51.015,2.136,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Gravelines-5,Gravelines,Unit 5,France,operating,PWR,CP2,910,951,1979-06-01,1984-08-28,1985-01-28,,51.015,2.136,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Gravelines-6,Gravelines,Unit 6,France,operating,PWR,CP2,910,951,1979-11-01,1985-10-26,1985-10-26,,51.015,2.136,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Nogent-1,Nogent,Unit 1,France,operating,PWR,P4,1310,1362,1981-05-01,1987-10-21,1988-02-21,,48.517,3.517,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Nogent-2,Nogent,Unit 2,France,operating,PWR,P4,1310,1362,1982-01-01,1988-09-14,1989-05-14,,48.517,3.517,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Paluel-2,Paluel,Unit 2,France,operating,PWR,P4,1330,1382,1977-12-01,1984-12-14,1985-12-01,,49.855,-0.634,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Paluel-3,Paluel,Unit 3,France,operating,PWR,P4,1330,1382,1979-02-01,1985-09-30,1986-02-01,,49.855,-0.634,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Paluel-4,Paluel,Unit 4,France,operating,PWR,P4,1330,1382,1980-02-01,1986-01-25,1986-06-01,,49.855,-0.634,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Penly-1,Penly,Unit 1,France,operating,PWR,P4,1330,1382,1982-09-01,1990-04-08,1990-12-08,,49.975,1.213,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Penly-2,Penly,Unit 2,France,operating,PWR,P4,1330,1382,1984-01-01,1992-01-08,1992-11-08,,49.975,1.213,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Saint-Alban-1,Saint-Alban,Unit 1,France,operating,PWR,P4,1335,1382,1979-11-01,1985-05-16,1986-05-01,,45.404,4.831,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Saint-Alban-2,Saint-Alban,Unit 2,France,operating,PWR,P4,1335,1382,1980-07-01,1986-07-02,1987-07-01,,45.404,4.831,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Saint-Laurent-B1,Saint-Laurent,Unit B1,France,operating,PWR,CP2,915,956,1976-05-01,1981-08-21,1983-08-01,,47.725,1.573,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Saint-Laurent-B2,Saint-Laurent,Unit B2,France,operating,PWR,CP2,915,956,1976-10-01,1981-06-01,1983-06-01,,47.725,1.573,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Belleville-1,Belleville,Unit 1,France,operating,PWR,P4,1310,1362,1980-05-01,1987-06-14,1988-06-06,,47.506,2.874,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Belleville-2,Belleville,Unit 2,France,operating,PWR,P4,1310,1362,1980-08-01,1988-01-06,1988-07-01,,47.506,2.874,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Tricastin-2,Tricastin,Unit 2,France,operating,PWR,CP1,915,956,1975-03-01,1980-07-01,1980-07-11,,44.33,4.732,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Tricastin-3,Tricastin,Unit 3,France,operating,PWR,CP1,915,956,1975-07-01,1981-02-10,1981-02-11,,44.33,4.732,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Tricastin-4,Tricastin,Unit 4,France,operating,PWR,CP1,915,956,1975-11-01,1981-06-11,1981-07-11,,44.33,4.732,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Fessenheim-1,Fessenheim,Unit 1,France,shutdown,PWR,CP1,880,920,1971-09-01,1977-04-06,1978-04-01,2020-02-22,47.903,7.564,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Flamanville-2,Flamanville,Unit 2,France,operating,PWR,P4,1330,1382,1982-01-01,1986-07-06,1987-07-06,,49.536,-1.882,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Cattenom-2,Cattenom,Unit 2,France,operating,PWR,P4,1300,1362,1980-05-01,1987-09-17,1988-02-01,,49.402,6.22,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Cattenom-3,Cattenom,Unit 3,France,operating,PWR,P4,1300,1362,1982-01-01,1990-07-06,1991-07-06,,49.402,6.22,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Cattenom-4,Cattenom,Unit 4,France,operating,PWR,P4,1300,1362,1983-06-01,1991-05-27,1992-01-27,,49.402,6.22,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Braidwood-1,Braidwood,Unit 1,United States,operating,PWR,PWR,1194,1245,1975-08-01,1988-07-29,1988-07-29,,41.238,-88.231,Exelon,Exelon,Westinghouse,IAEA-PRIS/WNA-sample
Braidwood-2,Braidwood,Unit 2,United States,operating,PWR,PWR,1218,1264,1975-08-01,1988-10-17,1988-10-17,,41.238,-88.231,Exelon,Exelon,Westinghouse,IAEA-PRIS/WNA-sample
Byron-1,Byron,Unit 1,United States,operating,PWR,PWR,1164,1207,1975-09-01,1985-09-16,1985-09-16,,42.079,-89.278,Exelon,Exelon,Westinghouse,IAEA-PRIS/WNA-sample
Byron-2,Byron,Unit 2,United States,operating,PWR,PWR,1136,1183,1975-09-01,1987-08-02,1987-08-02,,42.079,-89.278,Exelon,Exelon,Westinghouse,IAEA-PRIS/WNA-sample
Callaway,Callaway,Unit 1,United States,operating,PWR,PWR,1236,1296,1976-04-01,1984-10-24,1984-12-19,,38.767,-91.783,Ameren,Ameren,Westinghouse,IAEA-PRIS/WNA-sample
Catawba-1,Catawba,Unit 1,United States,operating,PWR,PWR,1148,1205,1975-01-01,1985-06-12,1985-06-29,,35.072,-81.071,Duke Energy,Duke Energy,Westinghouse,IAEA-PRIS/WNA-sample
Catawba-2,Catawba,Unit 2,United States,operating,PWR,PWR,1148,1205,1975-01-01,1986-03-11,1986-08-19,,35.072,-81.071,Duke Energy,Duke Energy,Westinghouse,IAEA-PRIS/WNA-sample
Clinton,Clinton,Unit 1,United States,operating,BWR,BWR-6,1078,1109,1975-10-01,1987-04-01,1987-11-24,,40.318,-88.831,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
Comanche Peak-1,Comanche Peak,Unit 1,United States,operating,PWR,PWR,1218,1264,1974-12-19,1990-04-17,1990-08-13,,32.298,-97.785,Luminant,Vistra,Westinghouse,IAEA-PRIS/WNA-sample
Comanche Peak-2,Comanche Peak,Unit 2,United States,operating,PWR,PWR,1218,1264,1974-12-19,1993-04-16,1993-08-03,,32.298,-97.785,Luminant,Vistra,Westinghouse,IAEA-PRIS/WNA-sample
Cooper,Cooper,Unit 1,United States,operating,BWR,BWR-4,769,801,1968-06-01,1974-05-24,1974-07-01,,40.362,-95.644,NPPD,NPPD,GE,IAEA-PRIS/WNA-sample
Davis-Besse,Davis-Besse,Unit 1,United States,operating,PWR,CE-900,894,924,1970-09-01,1977-08-28,1978-07-31,,41.598,-83.086,Energy Harbor,Energy Harbor,B&W,IAEA-PRIS/WNA-sample
DC Cook-1,DC Cook,Unit 1,United States,operating,PWR,PWR,1054,1081,1969-03-25,1975-02-27,1975-08-27,,41.976,-86.562,Indiana Michigan,AESC,Westinghouse,IAEA-PRIS/WNA-sample
DC Cook-2,DC Cook,Unit 2,United States,operating,PWR,PWR,1077,1122,1969-03-25,1977-03-23,1978-07-01,,41.976,-86.562,Indiana Michigan,AESC,Westinghouse,IAEA-PRIS/WNA-sample
Dresden-2,Dresden,Unit 2,United States,operating,BWR,BWR-3,882,912,1966-01-10,1970-04-09,1970-06-09,,41.388,-88.27,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
Dresden-3,Dresden,Unit 3,United States,operating,BWR,BWR-3,882,912,1966-10-14,1971-07-16,1971-11-16,,41.388,-88.27,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
Fermi-2,Fermi,Unit 2,United States,operating,BWR,BWR-4,1173,1220,1972-09-26,1985-10-05,1988-01-23,,41.961,-83.261,DTE Energy,DTE,GE,IAEA-PRIS/WNA-sample
Hope Creek,Hope Creek,Unit 1,United States,operating,BWR,BWR-4,1270,1355,1974-11-01,1986-08-20,1986-12-20,,39.464,-75.535,PSEG,PSEG,GE,IAEA-PRIS/WNA-sample
Indian Point-3,Indian Point,Unit 3,United States,shutdown,PWR,PWR,1025,1074,1969-11-01,1976-08-30,1976-08-30,2021-04-30,41.27,-73.953,Entergy,Entergy,Westinghouse,IAEA-PRIS/WNA-sample
James FitzPatrick,FitzPatrick,Unit 1,United States,operating,BWR,BWR-4,854,900,1970-05-22,1974-10-17,1975-07-28,,43.521,-76.406,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
LaSalle-1,LaSalle,Unit 1,United States,operating,BWR,BWR-5,1137,1195,1973-09-10,1982-09-16,1984-01-01,,41.244,-88.67,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
LaSalle-2,LaSalle,Unit 2,United States,operating,BWR,BWR-5,1137,1195,1973-09-10,1984-03-13,1984-10-19,,41.244,-88.67,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
Limerick-1,Limerick,Unit 1,United States,operating,BWR,BWR-4,1134,1188,1974-06-19,1985-09-01,1986-02-01,,40.225,-75.589,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
Limerick-2,Limerick,Unit 2,United States,operating,BWR,BWR-4,1134,1188,1974-06-19,1989-08-08,1990-01-08,,40.225,-75.589,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
McGuire-1,McGuire,Unit 1,United States,operating,PWR,PWR,1178,1231,1973-02-01,1981-09-12,1981-12-01,,35.432,-80.943,Duke Energy,Duke Energy,Westinghouse,IAEA-PRIS/WNA-sample
McGuire-2,McGuire,Unit 2,United States,operating,PWR,PWR,1178,1231,1973-02-01,1983-05-05,1984-03-01,,35.432,-80.943,Duke Energy,Duke Energy,Westinghouse,IAEA-PRIS/WNA-sample
Millstone-2,Millstone,Unit 2,United States,operating,PWR,CE-900,884,920,1970-11-01,1975-10-26,1976-12-26,,41.31,-72.168,Dominion,Dominion,CE,IAEA-PRIS/WNA-sample
Millstone-3,Millstone,Unit 3,United States,operating,PWR,PWR,1247,1299,1974-08-09,1986-04-23,1986-04-23,,41.31,-72.168,Dominion,Dominion,Westinghouse,IAEA-PRIS/WNA-sample
Monticello,Monticello,Unit 1,United States,operating,BWR,BWR-3,614,672,1967-06-19,1970-12-30,1971-06-30,,45.334,-93.846,Xcel Energy,Xcel,GE,IAEA-PRIS/WNA-sample
Nine Mile Point-1,Nine Mile Point,Unit 1,United States,operating,BWR,BWR-2,621,640,1965-01-01,1969-11-01,1969-12-01,,43.523,-76.406,Constellation,Constellation,GE,IAEA-PRIS/WNA-sample
Nine Mile Point-2,Nine Mile Point,Unit 2,United States,operating,BWR,BWR-5,1299,1330,1975-06-01,1987-12-08,1988-04-11,,43.523,-76.406,Constellation,Constellation,GE,IAEA-PRIS/WNA-sample
North Anna-1,North Anna,Unit 1,United States,operating,PWR,PWR,978,1020,1971-02-18,1978-04-06,1978-06-06,,38.063,-77.792,Dominion,Dominion,Westinghouse,IAEA-PRIS/WNA-sample
North Anna-2,North Anna,Unit 2,United States,operating,PWR,PWR,978,1020,1971-02-18,1980-08-21,1980-12-14,,38.063,-77.792,Dominion,Dominion,Westinghouse,IAEA-PRIS/WNA-sample
Oconee-1,Oconee,Unit 1,United States,operating,PWR,B&W,900,936,1967-11-01,1973-05-06,1973-07-15,,34.792,-82.899,Duke Energy,Duke Energy,B&W,IAEA-PRIS/WNA-sample
Oconee-2,Oconee,Unit 2,United States,operating,PWR,B&W,900,936,1967-11-01,1974-09-09,1974-09-09,,34.792,-82.899,Duke Energy,Duke Energy,B&W,IAEA-PRIS/WNA-sample
Oconee-3,Oconee,Unit 3,United States,operating,PWR,B&W,900,936,1967-11-01,1974-12-05,1974-12-16,,34.792,-82.899,Duke Energy,Duke Energy,B&W,IAEA-PRIS/WNA-sample
Point Beach-1,Point Beach,Unit 1,United States,operating,PWR,PWR,617,640,1967-07-19,1970-11-21,1970-12-21,,44.283,-87.538,NextEra,NextEra,Westinghouse,IAEA-PRIS/WNA-sample
Point Beach-2,Point Beach,Unit 2,United States,operating,PWR,PWR,617,640,1968-07-25,1972-08-02,1972-10-02,,44.283,-87.538,NextEra,NextEra,Westinghouse,IAEA-PRIS/WNA-sample
Prairie Island-1,Prairie Island,Unit 1,United States,operating,PWR,PWR,522,550,1969-06-25,1973-12-16,1974-04-16,,44.617,-92.643,Xcel Energy,Xcel,Westinghouse,IAEA-PRIS/WNA-sample
Prairie Island-2,Prairie Island,Unit 2,United States,operating,PWR,PWR,522,550,1969-06-25,1974-12-21,1975-12-21,,44.617,-92.643,Xcel Energy,Xcel,Westinghouse,IAEA-PRIS/WNA-sample
Quad Cities-1,Quad Cities,Unit 1,United States,operating,BWR,BWR-3,908,938,1967-02-16,1972-02-18,1972-02-18,,41.727,-90.67,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
Quad Cities-2,Quad Cities,Unit 2,United States,operating,BWR,BWR-3,908,938,1967-02-16,1972-03-10,1972-03-10,,41.727,-90.67,Exelon,Exelon,GE,IAEA-PRIS/WNA-sample
River Bend,River Bend,Unit 1,United States,operating,BWR,BWR-6,974,1000,1977-03-25,1985-11-03,1986-12-28,,30.757,-91.335,Entergy,Entergy,GE,IAEA-PRIS/WNA-sample
Salem-1,Salem,Unit 1,United States,operating,PWR,PWR,1174,1199,1968-09-25,1977-04-01,1977-06-30,,39.465,-75.536,PSEG,PSEG,Westinghouse,IAEA-PRIS/WNA-sample
Salem-2,Salem,Unit 2,United States,operating,PWR,PWR,1174,1199,1968-09-25,1981-08-13,1981-10-13,,39.465,-75.536,PSEG,PSEG,Westinghouse,IAEA-PRIS/WNA-sample
Seabrook,Seabrook,Unit 1,United States,operating,PWR,PWR,1246,1295,1976-07-07,1990-08-19,1990-08-19,,42.896,-70.849,NextEra,NextEra,Westinghouse,IAEA-PRIS/WNA-sample
St. Lucie-1,St. Lucie,Unit 1,United States,operating,PWR,CE-900,839,878,1970-07-01,1976-07-19,1976-12-21,,27.349,-80.246,FPL,NextEra,CE,IAEA-PRIS/WNA-sample
St. Lucie-2,St. Lucie,Unit 2,United States,operating,PWR,CE-900,839,878,1977-01-01,1983-06-10,1983-08-10,,27.349,-80.246,FPL,NextEra,CE,IAEA-PRIS/WNA-sample
